product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
P006,Smartwatch,Electronics,96.0,150,36,2.2,375,Pattern drug commercial institution father address unit science add ball he address.,8d8cca87-7345-48c4-9e51-9b6aee14b0be,Jill Boone,c39c3916-fd68-4a15-94bf-64c106559ae9,Plan huge allow strategy child against.,Recently need success try.,https://placeimg.com/557/310/any,https://www.bender.com/
P006,Smartwatch,Electronics,106.5,150,29,4.7,430,Sense even level with democratic since candidate box here growth between morning administration.,c1d170fb-4cc3-4d42-8325-af361ee11833,Lori Johnson,4f3d0896-79e9-42be-b20e-9b18755a7206,Fact field sing approach edge.,Realize page soldier responsibility appear. Paper military some half recognize mean.,https://placekitten.com/238/997,http://miller-holland.net/
P006,Smartwatch,Electronics,90.0,150,40,3.7,90,System for carry audience second avoid real general defense candidate particular somebody push office.,143d1852-f26f-448a-a596-b2d799c0f2a2,Richard Hess,6fa0aec4-3d4a-4028-ae3f-7210d208d947,Expect eat worker rule evidence particular way.,Against future cell father.,https://dummyimage.com/826x687,http://pace.com/
P001,Smartphone,Electronics,480.0,800,40,1.5,410,They make dark daughter either in bank mother.,69ca7f71-c64e-4930-aa2c-8c922bd901bc,Abigail Davis,eb080d1b-c170-444d-bdca-4348bf224764,Happen spend right whose security.,Fine everyone than teach.,https://placekitten.com/282/605,http://faulkner.com/
P003,Headphones,Accessories,95.0,100,5,3.1,283,Collection down cell quality yes girl education.,d8c09a44-6f28-4be7-a55c-8dce77da9469,Bradley Smith,d101cd15-9693-48ba-9ee9-a308fd8d0c01,Continue enjoy nation cost simple.,Yet young Mr within thought feel. Institution five travel window almost find.,https://dummyimage.com/416x24,http://www.lewis-jacobson.com/
P008,Blender,Home Appliances,55.8,90,38,1.9,151,Bar allow join weight ok for lawyer character two.,1e738c81-f06c-4120-920c-641965181311,Kathryn Rubio,2bd4cd43-7902-46cf-9f93-62882c0278ed,Special story stop production hour rich about.,Light field kid performance. Scene I image bit child.,https://placekitten.com/104/793,https://www.ramirez-thomas.info/
P008,Blender,Home Appliances,71.1,90,21,2.1,60,Politics north when across class compare leader must hold air wind particularly they.,df0718b8-6da3-4968-86eb-039f110752b7,Lauren Lucero,39e31e9a-146e-4168-a29e-e01e4fb51ad0,Mind win throw former service nice.,Home option church. Program phone treat sign edge hit message pressure.,https://www.lorempixel.com/1006/598,https://morales.biz/
P010,Tablet,Electronics,352.0,400,12,2.7,342,If today according loss decade law among least lawyer security base kid.,11d70579-4f46-4bed-911d-6022dbd26aff,Crystal Mclaughlin,9f27fba2-a060-4836-97d4-ecf111893990,Lose international thing together.,Near where social decide. Necessary find discussion conference four wonder summer beautiful.,https://www.lorempixel.com/142/39,http://www.rodriguez.com/
P004,Shoes,Fashion,68.8,80,14,4.5,18,First special position seek miss address surface already old city rest Republican.,94c9024f-4dd5-47de-ac4d-704e073537c4,Ashley Walker,3ce2ef0a-baae-4453-bf24-7390943c7507,Wonder enjoy court news shake clear early.,Mother similar add scene.,https://placeimg.com/897/110/any,https://greene.com/
P004,Shoes,Fashion,48.0,80,40,2.6,93,Central sea voice along word region citizen.,23e3f527-c24d-49a4-b469-f3ed268377a5,Mr. Matthew Smith DDS,1d8d8786-c109-4365-a6f9-523e51f4761a,You type Republican along positive people.,Above none forward same mouth situation.,https://dummyimage.com/294x297,http://sandoval-schwartz.com/
P002,Laptop,Electronics,1116.0,1200,7,3.0,394,West notice Mrs culture wind information wide turn data result.,c644ff8b-a686-4577-9770-eb37612b1ab4,Kevin White,26d55cca-e2c0-42b9-9d1f-c546b6de4a16,Find production watch series attack both.,Interesting size financial attorney. Face new fish now whole side.,https://placeimg.com/263/375/any,https://evans-douglas.com/
